Player,Position,Height,Weight,40 Yard,Bench,Vertical
"Coleman, Lavon",RB,5990,223,4.65,23,33
"Chubb, Nick",RB,5990,227,4.52,29,38.5
"Jones, Ronald",RB,5990,205,4.53,20,36.5
"Penny, Rashaad",RB,5990,220,4.46,13,32.5
"Crawford, Justin",RB,5990,202,4.64,11,33.5
"Franklin, Jarvion",RB,5990,225,4.63,18,30
"Freeman, Royce",RB,5990,229,4.54,17,34
"Johnson, Kerryon",RB,5990,213,4.53,11,40
"Wilson, Jeffrey",RB,5990,210,4.53,15,35.1
"Williams, Darrel",RB,5990,229,4.72,22,32
"Pettway, Kamryn",RB,5990,235,4.74,22,33.5
"Barkley, Saquon",RB,6000,233,4.4,29,41
"Jackson, Justin",RB,6000,193,4.52,13,38.5
"Wilkins, Jordan",RB,6005,216,4.53,16,36
"Adams, Josh",RB,6012,213,4.53,18,35.1
"Scarbrough, Bo",RB,6013,228,4.52,14,40
"Ballage, Kalen",RB,6014,228,4.46,15,33.5
"Flowers, Dimitri",RB,6017,248,4.83,17,30.5
"Bawden, Nick",RB,6020,245,4.53,20,35.1
"Warren, Chris",RB,6020,250,4.69,25,33
"Nall, Ryan",RB,6021,232,4.58,15,33
"Ernsberger, Donnie",RB,6026,255,4.78,15,31
"Samuels, Jaylen",TE,5990,225,4.54,18,34.5
"Conklin, Tyler",TE,6030,254,4.8,18,38
"Baugh, Marcus",TE,6034,247,4.75,21,33
"Thomas, Ian",TE,6035,259,4.74,16,36
"Dissly, Will",TE,6036,262,4.75,15,34
"Herndon, Chris",TE,6036,253,4.75,21,34
"Hurst, Hayden",TE,6044,250,4.67,21,34
"Goedert, Dallas",TE,6045,256,4.75,23,34
"Izzo, Ryan",TE,6045,256,4.75,18,33
"Fumagalli, Troy",TE,6046,247,4.75,14,34
"Andrews, Mark",TE,6051,256,4.67,17,34
"Schultz, Dalton",TE,6053,244,4.75,15,34
"Smythe, Durham",TE,6053,253,4.75,18,33
"Gesicki, Mike",TE,6054,247,4.54,22,41.5
"Thomas, Jordan",TE,6054,265,4.74,21,33
"Wells, David",TE,6060,255,4.75,20,33
"Henderson, Quadree",WR,5970,190,4.5,12,32.5
"Berrios, Braxton",WR,5970,184,4.49,11,36
"McCloud, Ray-Ray",WR,5980,190,4.53,13,34.5
"Coutee, Keke",WR,5980,181,4.43,14,34.5
"James, Richie",WR,5990,178,4.48,6,35.5
"Mitchell, Steven",WR,5990,189,4.56,13,32.5
"Kirk, Christian",WR,5990,201,4.47,20,35.5
"Callaway, Antonio",WR,5990,200,4.41,14,38.5
"Washington, James",WR,5990,213,4.54,14,34.5
"Miller, Anthony",WR,5990,201,4.49,22,36
"Quinn, Trey",WR,5990,203,4.55,17,33.5
"Burnett, Deontay",WR,5990,186,4.49,14,36
"Moore, D.J.",WR,6000,210,4.42,15,39.5
"Phillips, Cam",WR,6000,195,4.49,14,36
"Pettis, Dante",WR,6004,186,4.49,14,36
"Ridley, Calvin",WR,6004,189,4.43,15,31
"Hamilton, Daesean",WR,6005,203,4.49,14,34.5
"Martin, Tavares",WR,6005,185,4.8,14,31.5
"Robertson, Korey",WR,6005,212,4.56,13,34
"Gallup, Michael",WR,6006,205,4.51,10,36
"Grayson, Davon",WR,6006,187,4.51,19,34.5
"Lasley, Jordan",WR,6010,203,4.5,8,34.5
"Pringle, Byron",WR,6010,205,4.46,15,33.5
"White, Ka'Raun",WR,6010,199,4.52,24,33.5
"Foster, Robert",WR,6015,196,4.41,14,31
"Cain, Deon",WR,6017,202,4.43,11,33.5
"Smith, Tre'Quan",WR,6020,210,4.49,12,37.5
"Weah, Jester",WR,6020,210,4.43,15,38
"Carrington, Darren",WR,6022,199,4.49,14,36
"Wilson, Cedrick",WR,6022,188,4.55,9,37
"Moore, J'Mon",WR,6025,207,4.6,21,38
"Cantrell, Dylan",WR,6027,226,4.59,18,38.5
"Chark, D.J.",WR,6027,199,4.34,16,40
"Wims, Javon",WR,6027,215,4.53,14,33.5
"Lacy, Chris",WR,6030,205,4.51,11,33.5
"Cobbs, Simmie",WR,6031,220,4.64,11,30
"Sutton, Courtland",WR,6033,218,4.54,18,35.5
"Valdes-Scantling, Marquez",WR,6040,206,4.37,15,30.5
"Wieneke, Jake",WR,6040,221,4.67,9,34
"Lazard, Allen",WR,6045,225,4.55,17,38
"Scott, Jaleel",WR,6046,218,4.56,16,34.5
"St. Brown, Equanimeous",WR,6046,214,4.48,20,36
"Tate, Auden",WR,6047,228,4.68,14,31
